vertex1,vertex2
2180977,4138638
347920,370181
4771220,842904
3296775,4559
3682939,6304355
3160263,4196825
3160263,3952634
2716891,3168248
5471360,3168248
1191152,6267830
1493432,347920
1601782,3533101
1601782,5963237
3373875,4204241
3413940,1017270
3413940,3449193
2743342,26306
4771220,3150711
3889557,3811376
3889557,6585119
3811376,160330
160330,6585119
518189,2180977
2156572,2180977
2180977,6531948
1975742,1834931
1481040,2761458
1481040,5214514
6007109,6304355
4637992,1722960
5264689,6018738
5264689,5670972
5264689,1011278
3590070,6299248
728419,1490688
6151022,842904
4808250,3734429
5725967,4049542
5725967,2773194
5725967,4405617
2180977,6163541
3410949,2761458
3410949,5214514
2761458,531273
531273,5214514
6292377,1852520
4672433,3168248
1975742,6472058
1975742,476206
4771220,4261316
3413940,5747998
4234725,373651
6156590,6032325
5086541,6382007
1749171,4534966
6151022,3150711
3811376,1481040
1481040,6585119
1601782,750397
1601782,4976528
3734429,6117798
4116529,1002439
4116529,1774952
3160263,757363
3160263,266799
3160263,6166593
3160263,4723480
3160263,2459748
3160263,2033006
2656612,370181
4236888,370181
2665568,370181
5854541,370181
250453,5543118
250453,5978251
233298,4534966
4234725,5923422
3811376,3410949
3811376,531273
3410949,6585119
531273,6585119
5086541,3797119
6230728,1191152
2656612,1493432
1493432,4236888
1493432,5854541
1493432,2665568
3682939,5214514
3682939,2761458
2180977,347920
6156590,4385658
6151022,4261316
3413940,4176906
233298,4138638
1607488,370181
1852520,2983439
1852520,5832208
5245966,2327550
965699,1387820
2716891,2054328
1749171,6531948
1749171,2156572
1749171,518189
728419,3162138
4116529,376020
4116529,3910287
1601782,4507397
1601782,2071558
3373875,4994258
5725967,6389007
5725967,6232700
2761458,6007109
6007109,5214514
1493432,1607488
3194983,4559
233298,2156572
233298,518189
233298,6531948
6321633,4843694
3734429,5489832
3734429,576759
3682939,6585119
3682939,3811376
1852520,794708
4047998,3168248
6271404,370181
1979314,370181
1749171,6163541
4375826,5332924
6201199,1051835
3160263,1747755
728419,1035536
1830537,1231856
3413940,2701276
6271404,1493432
1975742,5636738
1979314,1493432
6227951,5245966
233298,6163541
3811376,6007109
6007109,6585119
842904,4534966
5264689,5782220
3889557,160330
4771220,6151022
1601782,4923745
1601782,4795889
1601782,1851897
1601782,5357135
3373875,2181845
3373875,5522432
4049134,5076066
5086541,2091918
3150711,4534966
1191152,1324974
2983439,6304355
5832208,6304355
2656612,2180977
2180977,2665568
2180977,5854541
2180977,4236888
1975742,5649389
1975742,4380393
1975742,3643230
1830537,1973132
1749171,347920
1852520,1615576
1852520,4808250
6230728,3168248
531273,3194983
3734429,984922
3734429,132538
3734429,4674862
2761458,5728953
5728953,5214514
1834931,370181
4049134,4248485
5725967,3564447
5725967,3526709
3413940,1552567
3413940,2227254
3413940,1790391
4116529,1630084
2283275,3741495
3150711,4138638
794708,6304355
233298,347920
518189,842904
2156572,842904
842904,6531948
1607488,2180977
1191152,1488577
1191152,224876
3889557,1481040
1481040,160330
1493432,1834931
965699,3406509
965699,676166
39404,5496566
39404,3373724
39404,1429614
6156590,1638581
250453,4523512
250453,6422882
1975742,4579662
1975742,2347594
1975742,5991927
6292377,2761458
4534966,4261316
2743342,4530282
1601782,901970
3373875,3479141
3373875,3546732
3373875,4848081
3373875,586524
3734429,1673369
3734429,4435594
3734429,648863
6472058,370181
370181,476206
1830537,6572910
4637992,3101833
5264689,4127052
3160263,1218776
3160263,3939228
3160263,478336
3160263,5299745
3160263,5240473
3160263,6504501
3160263,6212636
3160263,3824602
4280405,6321078
518189,3150711
3150711,2156572
3150711,6531948
4799136,3919896
3811376,5728953
842904,6163541
3643327,6304355
3889557,3410949
3889557,531273
2546336,1538922
999642,1538922
3410949,160330
160330,531273
1958921,2327550
6271404,2180977
1979314,2180977
26306,4948838
1962669,1040134
5086541,2478487
1493432,6472058
1493432,476206
4138638,4261316
4116529,1343989
3150711,6163541
1975742,679551
1975742,4915414
1975742,5189298
1722960,5600254
6292377,3811376
4808250,6304355
6076426,6304355
1615576,6304355
728419,655327
728419,403076
250453,5471736
518189,4261316
2156572,4261316
4261316,6531948
1749171,4236888
1749171,2656612
1749171,5854541
2761458,2983439
2761458,5832208
1191152,893335
2983439,5214514
5832208,5214514
2743342,3203276
6321633,4036936
1852520,576759
1852520,5489832
1481040,531273
3168248,1324974
4049134,1526382
5725967,2060302
5725967,1156237
3682939,3889557
3682939,160330
6227951,1538922
1601782,4101067
1601782,1881497
3373875,2463123
4771220,4534966
842904,347920
5569339,880273
5569339,4044296
5569339,1544560
2656612,233298
233298,4236888
233298,5854541
233298,2665568
1975742,1396325
1975742,1689467
6117798,6304355
4116529,3196529
4116529,56854
1206312,3734429
39404,4740311
6163541,4261316
2180977,1834931
5264689,3216222
5264689,6220559
6156590,1061108
1749171,1607488
3413940,5973198
3413940,814775
3413940,5010109
3413940,891988
2761458,794708
794708,5214514
1713484,2546336
1713484,999642
2546336,999642
3410949,531273
6145721,5245966
373651,1958921
3889557,6007109
2706442,1191152
192767,1191152
1538922,6442012
4846847,1191152
3150711,347920
728419,858910
728419,4961715
4771220,4138638
224876,3168248
3168248,1488577
3160263,5444122
3160263,570203
3160263,2343279
3160263,6470976
3160263,209005
3160263,3242118
3160263,5235054
3160263,5634914
3811376,5832208
3811376,2983439
2983439,6585119
233298,1607488
250453,4869085
5636738,370181
965699,1611120
4771944,3734429
3682939,1481040
2180977,476206
2180977,6472058
4234725,2015816
6271404,1749171
1975742,3439135
1975742,207914
1979314,1749171
3643327,5214514
3643327,2761458
6151022,4534966
1958921,5923422
39404,5150205
6321633,5287523
4771220,518189
4771220,6531948
4771220,2156572
26306,3203276
1493432,5636738
5086541,3536053
1191152,1004792
3811376,794708
6585119,794708
1601782,4671298
1601782,3123475
1601782,5354351
1601782,1413545
3373875,5006124
3373875,2891952
3373875,1114556
1852520,4621703
1852520,984922
1852520,132538
6271404,233298
6145721,4261316
1979314,233298
347920,4261316
5332924,3296775
3682939,3410949
3682939,531273
6227951,3410949
728419,1671985
728419,289005
728419,669912
728419,2662724
728419,2179764
1481040,6007109
576759,6304355
6151022,4138638
3413940,1146949
5649389,370181
4380393,370181
4808250,5214514
4808250,2761458
2761458,1615576
1615576,5214514
4771220,6163541
3734429,882450
3734429,3535557
965699,6030846
26306,4672433
1975742,2819104
4799136,2519484
4799136,6061372
3811376,3643327
3643327,6585119
2656612,842904
842904,4236888
842904,2665568
842904,5854541
6201199,6145721
5725967,5441160
5725967,5722045
5725967,1877854
5725967,3906783
5725967,5748416
5725967,3039868
5725967,4793109
5725967,5438724
5725967,5458116
5649389,1493432
4380393,1493432
1493432,3643230
5264689,488368
5264689,1720236
5264689,514378
39404,1318834
1713484,6442012
1852520,4435594
1852520,648863
2546336,6442012
999642,6442012
3410949,6007109
1191152,4963212
6007109,531273
3168248,893335
1051835,5923422
5569339,2212571
6151022,518189
6151022,2156572
6151022,6531948
2743342,4047998
3889557,5728953
1538922,3994447
160330,5728953
4258403,5667768
2761458,6117798
6117798,5214514
6321633,196019
3590070,3795974
1749171,1834931
6331727,2054328
2656612,3150711
3150711,4236888
3150711,5854541
1324974,2054328
4116529,2838312
4116529,2334991
4579662,370181
2347594,370181
5991927,370181
728419,56512
4799136,4750195
4808250,3811376
4808250,6585119
3811376,1615576
1607488,842904
6585119,1615576
719221,3734429
3734429,3586699
3160263,5031524
3160263,3939880
3160263,1912965
3160263,6508338
6151022,6163541
1601782,4797820
1601782,4790459
3373875,2455891
3373875,3157185
3373875,6623675
3373875,744517
3373875,3855560
1975742,127793
1975742,4788554
6292377,160330
4579662,1493432
2347594,1493432
823260,3168248
192767,3168248
233298,1834931
1493432,5991927
5259397,3168248
4559,2366109
3413940,806746
3413940,2527220
4771220,347920
984922,6304355
4621703,6304355
132538,6304355
39404,2627359
39404,5951752
39404,3487238
26306,6267830
3150711,1607488
5245966,2746755
1749171,476206
1749171,6472058
3682939,6007109
6227951,6007109
5636738,2180977
4799136,1918600
6271404,842904
1979314,842904
3811376,6117798
6585119,6117798
679551,370181
4915414,370181
5189298,370181
1481040,5728953
2656612,4261316
4236888,4261316
2665568,4261316
5854541,4261316
6145721,1958921
3712408,1538922
6565057,1958921
1538922,4604564
6156590,5349258
3439132,3734429
3640594,3734429
3734429,888221
3734429,4503476
2743342,6230728
233298,476206
233298,6472058
1830537,899505
4116529,3472228
801284,3168248
1852520,1206312
1004792,3168248
679551,1493432
4915414,1493432
1493432,5189298
965699,2954659
26306,4047998
6271404,3150711
5086541,5778163
5086541,4024944
1979314,3150711
3741495,5245966
2761458,576759
2761458,5489832
4435594,6304355
648863,6304355
576759,5214514
1673369,6304355
5489832,5214514
4948838,4530282
4280405,2382372
1713484,3994447
2546336,3994447
999642,3994447
3410949,5728953
531273,5728953
4234725,4674862
5811106,2054328
2054328,1028282
6292377,1481040
5264689,647334
5264689,2229289
5264689,4166945
4799136,5248820
6151022,347920
5600254,3101833
1607488,4261316
5649389,2180977
4380393,2180977
2180977,3643230
3889557,2983439
160330,5832208
160330,2983439
1396325,370181
1689467,370181
5725967,4060439
5725967,754
5725967,1883570
5725967,3908560
5725967,5813781
5725967,1686565
3413940,957978
1601782,3647067
3373875,4282086
5569339,56621
373651,5923422
4138638,4534966
2716891,4948838
4948838,5471360
5332924,3194983
6292377,531273
1852520,4771944
1852520,2321439
1852520,920790
634192,4672433
1708763,3168248
1396325,1493432
1493432,1689467
6156590,5761154
5086541,4255903
5086541,3394367
1768780,2054328
4799136,4199033
3811376,576759
1834931,842904
1830537,3409787
1830537,1476130
965699,3215979
965699,1248275
6271404,4261316
1975742,5991342
1975742,3622321
1979314,4261316
3889557,794708
1538922,4274154
160330,794708
4579662,2180977
2347594,2180977
2180977,5991927
4771220,4236888
4771220,2656612
4771220,2665568
4116529,3889934
3160263,2872004
3160263,1197887
3160263,1259006
3160263,375231
4280405,1050162
518189,4534966
2156572,4534966
4534966,6531948
3682939,5728953
3203276,4948838
6227951,3994447
3439135,370181
207914,370181
26306,6230728
6145721,2327550
1713484,3712408
1722960,3101833
2546336,4604564
2546336,3712408
999642,3712408
6565057,2327550
39404,4825056
6176306,5245966
1481040,5832208
1481040,2983439
3150711,1834931
2761458,4621703
2761458,984922
2761458,132538
984922,5214514
132538,5214514
1852520,882450
1852520,3535557
3614102,3168248
2509412,3734429
3734429,5112246
1206312,6304355
3590070,4100933
3590070,3828414
3889557,3643327
1749171,5636738
3643327,160330
3439135,1493432
1493432,207914
842904,6472058
842904,476206
518189,4138638
2156572,4138638
4138638,6531948
5086541,3521861
2552898,1191152
3994447,6442012
6007109,5728953
6163541,4534966
4771220,1607488
4509608,4948838
6292377,3682939
3413940,1733193
714987,3795974
679551,2180977
4915414,2180977
3410949,5832208
3410949,2983439
5832208,531273
1975742,1624507
1975742,4368132
6156590,3964054
6156590,5275255
728419,4516903
4258403,6392180
4258403,3129260
5627791,5569339
233298,5636738
3150711,476206
3150711,6472058
5264689,434788
2819104,370181
1601782,6486864
1601782,6236142
1601782,5068219
1601782,2008236
3373875,5399615
6151022,5854541
6151022,2665568
6151022,2656612
6151022,4236888
2761458,4435594
2761458,648863
2761458,1673369
4435594,5214514
648863,5214514
1673369,5214514
4808250,160330
4808250,3889557
3889557,1615576
160330,1615576
1958921,6076426
1958921,4750195
4280405,1455344
2716891,5471360
518189,2156572
518189,6531948
2156572,6531948
3715834,3203276
4138638,6163541
6292377,6007109
1852520,719221
1852520,3586699
4771944,6304355
920790,6304355
2321439,6304355
1834931,4261316
3811376,984922
3811376,4621703
3811376,132538
6585119,4621703
6585119,132538
6585119,984922
6227951,3712408
6227951,4604564
6204376,1156993
4116529,3633680
4116529,3659824
4116529,2887301
5649389,1749171
4380393,1749171
1749171,3643230
6271404,4771220
1979314,4771220
39404,4240667
39404,837790
39404,5669327
1493432,2819104
1713484,4274154
2546336,4274154
999642,4274154
3410949,794708
531273,794708
2743342,1488577
5517262,483785
6527883,1191152
3964767,3296775
1051835,6061372
1051835,2519484
3643327,1481040
1396325,2180977
2180977,1689467
4049134,2357394
5725967,4883939
5725967,5304531
5725967,4067463
5725967,4279470
5725967,4327876
5725967,936251
5725967,3360096
5725967,10926
5725967,69361
6151022,1607488
6321633,5763837
962934,5245966
5649389,233298
233298,3643230
3203276,5471360
518189,6163541
2156572,6163541
4672433,4530282
1975742,5411227
3889557,6117798
3712408,6442012
160330,6117798
1958921,2015816
6442012,4604564
4534966,347920
965699,6335150
965699,3330574
965699,74610
3682939,2983439
3682939,5832208
4948838,6267830
127793,370181
4788554,370181
6472058,4261316
476206,4261316
4799136,488786
3811376,648863
3811376,1673369
648863,6585119
6585119,1673369
882450,6304355
3535557,6304355
728419,6345894
728419,3964054
728419,111507
6156590,2978132
6156590,150862
4579662,1749171
2347594,1749171
1852520,4503476
1852520,3439132
1852520,3640594
1852520,888221
1749171,5991927
3413940,4452368
3413940,4096598
26306,6331727
1051835,6076426
4808250,1481040
1481040,1615576
1222652,6117791
3296775,5468769
1493432,4788554
1493432,127793
742222,3734429
4107227,3734429
3734429,147999
6271404,6151022
1979314,6151022
3160263,5831804
3160263,1914343
3160263,6538624
3160263,4168253
3160263,4365517
3160263,2739531
3160263,5610500
3160263,2966710
6145721,5923422
4138638,347920
1191152,2324307
6007109,5832208
3439135,2180977
2180977,207914
4579662,233298
2347594,233298
5569339,1490688
5248820,1958921
233298,5991927
4948838,4047998
2761458,1206312
1206312,5214514
1601782,75080
1601782,3211305
1601782,4601337
1601782,5365712
1601782,665770
1601782,5948932
1601782,1322586
1601782,6073020
3373875,5055829
3373875,1853797
3373875,2335216
3373875,2268181
4036258,5507492
4036258,3545059
4771220,1834931
4808250,3410949
3410949,1615576
2746755,2327550
4799136,3415799
5636738,842904
1481040,6117798
719221,6304355
3586699,6304355
2044905,2054328
1611019,2054328
1749171,679551
1749171,4915414
1749171,5189298
26306,224876
2743342,893335
965699,5886301
965699,1386964
965699,3955397
6292377,5728953
4637992,6291618
3203276,4672433
518189,347920
347920,6531948
4530282,6267830
5264689,2286582
5264689,4561454
35333,3296775
6007109,794708
6442012,4274154
2859005,1538922
6176306,1958921
1627612,1958921
72066,5245966
3889557,576759
1387820,5245966
160330,5489832
3150711,5636738
728419,4321227
728419,301764
6344128,3734429
4049134,5471363
6156590,3279504
5569339,3700257
679551,233298
4915414,233298
233298,5189298
2180977,2819104
5086541,5841301
4771944,2761458
190265,1191152
920790,5214514
920790,2761458
2321439,2761458
3410949,6117798
1191152,5587128
1191152,3132572
531273,6117798
4771220,6472058
4771220,476206
4258403,6060873
4799136,3767597
5649389,842904
4380393,842904
3811376,1206312
1206312,6585119
842904,3643230
2571570,2366109
3712408,3994447
3994447,4604564
6163541,347920
2716891,6267830
5471360,6267830
5811106,26306
26306,1028282
3413940,2542475
3413940,963857
3413940,2118081
3413940,5227907
3413940,2582601
3413940,1310711
2743342,823260
2743342,2706442
714987,3828414
1396325,1749171
1749171,1689467
3643327,6007109
3439132,6304355
4001214,2054328
6151022,1834931
3640594,6304355
2656612,4534966
4236888,4534966
5854541,4534966
888221,6304355
5991342,370181
3622321,370181
3682939,4808250
3682939,1615576
6527883,3168248
1852520,5224947
1852520,2509412
1975742,5124421
1975742,3468557
1975742,3819853
4116529,1194548
4116529,958114
4116529,2993276
5649389,3150711
4380393,3150711
3382859,5245966
3150711,3643230
4036258,4383580
4049134,4272579
5725967,3708238
5725967,417030
5725967,2481199
5725967,459616
5725967,630523
5725967,4030370
5725967,4410988
5569339,3162138
1396325,233298
5991342,1493432
3622321,1493432
233298,1689467
5636738,4261316
3203276,6267830
2983439,5728953
2761458,882450
2761458,3535557
882450,5214514
3535557,5214514
5471360,4047998
1627612,1051835
1051835,4199033
1481040,576759
1481040,5489832
2328115,2002510
2180977,127793
2180977,4788554
3734429,2654587
2656612,4138638
4138638,5854541
4138638,4236888
4579662,842904
2347594,842904
4771944,6585119
3811376,2321439
920790,6585119
2321439,6585119
842904,5991927
26306,893335
3964767,3194983
1607488,4534966
6007109,1615576
1601782,939139
1601782,6308815
3373875,3708950
5686353,4456593
6151022,6472058
6151022,476206
2743342,1004792
728419,955831
728419,4954419
3682939,6117798
6156590,403163
6156590,6077310
1749171,3439135
1749171,207914
4637992,3470733
4637992,3898884
6201199,5468769
3889557,4621703
3889557,132538
160330,4621703
160330,984922
1958921,962934
1958921,4674862
1624507,370181
4368132,370181
6145721,6565057
3712408,4604564
39404,3088784
39404,3386412
6321633,1071364
6321633,2765722
6292377,2983439
6292377,5832208
2859005,2546336
2859005,999642
4579662,3150711
2347594,3150711
1852520,5002373
6176306,2327550
1627612,2327550
3410949,576759
3410949,5489832
634192,1324974
4672433,6267830
3150711,5991927
531273,5489832
531273,576759
2324307,3168248
3994447,4274154
5728953,794708
3160263,900295
3160263,2924847
3160263,949998
3160263,3520952
3160263,1188898
3160263,3242249
3160263,5170818
3160263,191123
2656612,518189
2656612,2156572
2656612,6531948
518189,4236888
518189,5854541
2156572,5854541
4236888,6531948
5854541,6531948
5649389,4261316
4380393,4261316
3382859,4261316
3643230,4261316
6230728,4530282
1607488,4138638
5569339,1035536
3439135,233298
4049134,663394
4049134,2163964
6271404,4534966
1975742,564917
1975742,4822826
1979314,4534966
373651,2015816
719221,5214514
719221,2761458
2761458,3586699
6007109,6117798
3586699,5214514
3811376,3535557
3811376,882450
679551,842904
4915414,842904
5189298,842904
882450,6585119
6585119,3535557
1222652,4443214
26306,5259397
26306,1268838
26306,823260
1624507,1493432
4368132,1493432
4456593,962934
965699,2480544
965699,4052710
965699,1901139
5264689,3052369
5264689,5945929
5264689,1946641
5264689,2879352
3413940,4088600
2743342,4963212
3734429,1885416
3964767,4559
3889557,4435594
3889557,1673369
3889557,648863
782496,1191152
4111017,1538922
1538922,5724013
160330,648863
1191152,5120596
5076066,4248485
6292377,794708
6201199,3382859
4116529,6154331
4116529,4181602
3919896,6061372
3919896,2519484
1749171,2819104
3643327,5728953
2656612,6163541
4236888,6163541
6163541,5854541
634192,224876
2509412,6304355
5224947,6304355
5112246,6304355
2716891,6230728
2156572,1607488
679551,3150711
4915414,3150711
3150711,5189298
3406509,5245966
5245966,676166
6271404,4138638
1481040,984922
1481040,132538
4579662,4261316
2347594,4261316
1852520,742222
1852520,4107227
3168248,5587128
3168248,3132572
5991927,4261316
728419,6431441
728419,2786420
5411227,370181
5765001,370181
3682939,5489832
3682939,576759
6299248,3795974
233298,2819104
6156590,2088558
6156590,919992
6156590,770154
3439132,2761458
3439132,5214514
3640594,5214514
2761458,4503476
2761458,888221
4503476,5214514
888221,5214514
26306,1004792
35333,3194983
4049134,5389409
4799136,2094987
4799136,2184783
4799136,636224
1396325,842904
3811376,719221
719221,6585119
6585119,3586699
842904,1689467
39404,3052611
39404,4062891
39404,1579243
2983439,5832208
3712408,4274154
6292377,3643327
2743342,540646
4808250,5728953
3919896,4750195
1607488,6163541
1615576,5728953
5991342,2180977
3622321,2180977
4258403,2511976
4258403,5876533
4258403,5358726
72066,1958921
5411227,1493432
1958921,5468769
1493432,5765001
4280405,5089229
6271404,6531948
6271404,2156572
6271404,518189
1975742,2258140
1975742,1226476
1975742,613683
1979314,2156572
1979314,6531948
1979314,518189
6293865,404429
1601782,1464814
3373875,676009
3373875,4309786
3373875,3586259
3373875,5558283
3373875,3064812
3410949,984922
634192,1028282
962934,2327550
531273,4621703
531273,132538
4637992,5912721
3590070,6599996
3590070,5695047
1749171,4788554
1749171,127793
965699,432752
965699,3099510
4380393,4771220
4771220,3643230
2859005,6442012
5086541,6191707
6176306,373651
1396325,3150711
1481040,1673369
1481040,4435594
3150711,1689467
1834931,4534966
5002373,6304355
679551,4261316
4915414,4261316
5189298,4261316
4948838,1488577
2983439,794708
5832208,794708
6145721,6061372
6145721,2665568
6565057,2519484
6151022,5636738
2656612,347920
4236888,347920
5854541,347920
6292377,1615576
26306,1708763
238753,3168248
6230728,4672433
3168248,4705793
6271404,6163541
1918600,3919896
1979314,6163541
6117798,5728953
233298,4788554
233298,127793
4799136,185717
3811376,4503476
3811376,3640594
3811376,3439132
3811376,888221
3439132,6585119
3640594,6585119
3439135,842904
6585119,4503476
842904,207914
5725967,5693795
5725967,4282690
5725967,2768562
5725967,455547
3413940,903615
3413940,835129
4116529,984246
4116529,2884068
233592,1538922
35333,4559
3889557,1206312
3019634,1958921
1538922,4202694
1713484,4111017
1713484,5724013
2546336,4111017
2546336,5724013
999642,5724013
999642,4111017
3410949,1673369
3410949,4435594
3410949,648863
634192,1768780
4435594,531273
531273,648863
531273,1673369
4138638,1834931
6201199,3536609
728419,1601622
728419,4496350
1830537,2862195
1624507,2180977
4368132,2180977
6472058,4534966
4534966,476206
1051835,5468769
4579662,4771220
2347594,4771220
4771220,5991927
3590070,5091202
3643327,2983439
3439135,3150711
673835,2054328
3000130,4948838
3682939,132538
3682939,4621703
3682939,984922
6565057,6076426
6565057,2746755
1607488,347920
5076066,1526382
1975742,6192636
1975742,3875155
6292377,6117798
1396325,4261316
742222,6304355
147999,6304355
1689467,4261316
4380393,6151022
6151022,3643230
3919896,5248820
3734429,4204241
2044905,26306
5264689,6354878
5264689,2798369
5264689,2765145
5264689,4139889
5264689,4031208
5264689,619411
3160263,2409811
3160263,2275131
3160263,147481
3160263,5326525
4258403,5540242
2878000,965699
965699,6424194
965699,4415452
965699,5203642
965699,5652016
2509412,2761458
2509412,5214514
5224947,5214514
5224947,2761458
5112246,5214514
4799136,6513781
4799136,3161160
4530282,224876
4530282,1488577
4138638,476206
4138638,6472058
1852520,2654587
5569339,403076
5569339,655327
4771944,3889557
72066,2327550
3574034,160330
3889557,2321439
3889557,920790
782496,3168248
1387820,2327550
1538922,2408066
2321439,160330
6294333,3168248
2349661,3168248
2743342,3833627
4049134,3930480
4049134,3042380
373651,962934
373651,4674862
6007109,4621703
6007109,984922
6007109,132538
5124421,370181
3468557,370181
370181,3819853
3643327,794708
4808250,2983439
4808250,5832208
6230728,6267830
2983439,1615576
1526382,4248485
1051835,3767597
1481040,1206312
6271404,347920
6145721,2015816
4771220,4915414
4771220,5189298
3682939,1673369
3682939,648863
3682939,4435594
4948838,893335
5411227,2180977
3296775,5852697
1601782,1390290
1601782,3764397
1601782,3308481
1601782,2263745
1601782,2131751
